[1]| 제55편{{{br}}} 빛과 생명의 구체
[134]| 지금 예비로 조립 과정에 있는 외부 우주와 관련된, 이 {k{k{창조주}k}k} {k{k{아들}k}k}들의 역할에 관해서 추측하는 것은, 완전히 쓸데없는 일이다. 그러나 우리는 모두, 때때로 이런 가정을 세워보곤 한다. {k{k{창조주}k}k} {k{k{아들}k}k}은 이 넷째 발달 단계에 도달하면서 경영상으로 자유롭게 되며;{k{k{신성한}k}k} {k{k{사역자}k}k}가 자신의 사역을, 연방우주 {k{k{으뜸}k}k} {k{k{영}k}k}과 {k{k{무한한}k}k} {k{k{영}k}k}의 사역과 점진적으로 혼합시킨다. {k{k{창조주}k}k} {k{k{아들}k}k}, {k{k{창조적}k}k} {k{k{영}k}k}, {k{k{저녁별}k}k}들, {k{k{교사}k}k} {k{k{아들}k}k}들, 그리고 계속_증가하는 완결성취자 단체 사이에, 새롭고 탁월한 관계가 전개될 것처럼 보인다.
[135]| {k{k{미가엘}k}k}이 {k{k{네바돈}k}k}을 언제라도 떠나야 한다면, 의심할 여지없이, {k{k{가브리엘}k}k}이 최고 경영자가 되고, {k{k{아버지}k}k} {k{k{멜기세덱}k}k}은 그의 동역자가 될 것이다. 동시에, {k{k{물질}k}k} {k{k{아들}k}k}들, 유니비타시아, 중간유한절대자들, 수사티아, 그리고 {k{k{영}k}k}과_융합된 필사자 같은, 모든 계층의 영구 시민에게 새로운 신분이 부여될 것이다. 그러나 진화가 계속되는 한, 스라빔과 천사장들은 우주 경영에 반드시 있어야 할 것이다.
[136]| 아무튼 우리는, 우리가 추측하는 두 가지 요점에 대해 만족하는데:{k{k{창조주}k}k} {k{k{아들}k}k}들이 외부 우주들로 가도록 정해져 있다면, 의심할 여지없이, {k{k{신성한}k}k} {k{k{사역자}k}k}들이 그들과 동행할 것이다. 우리는, {k{k{멜기세덱}k}k}들이 자신이 기원된 그 우주에 남을 것이라고, 똑같이 확신한다. 우리는 {k{k{멜기세덱}k}k}들이 지방우주 정부 및 경영에서 계속_증가하는 책임 있는 역할을 감당하게 돼있다고 본다.
[137]| {b{b{11. }b}b}{b{b{{k{k{소구역}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{및}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{대구역}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{단계}k}k}}b}b}
[138]| 연방우주의 소구역 및 대구역은, 빛과 생명 속에 정착시키는 계획에 직접 고려되지 않는다. 그렇게 진화로 진보하는 것은 1차적으로, 한 단위로서 지방우주에 관련되며, 오직 한 지방우주의 구성원들의 관심거리다. 한 연방우주가 빛과 생명에 정착하는 것은, 그 구성원인 지방우주들 전체가 그렇게 완전하게 됐을 때다. 그러나 일곱 연방우주 가운데 어느 하나도, 여기에 근접하는 진보 수준을 달성치 못했다.
[139]| {i{i{소구역}i}i} {i{i{시대}i}i}. 관측이 가능한 한, 다섯째, 즉 소구역 정착 단계는, 오로지 물리적 상태와 관계있고, 연방우주의 확립된 회로에 연합된 100개 지방우주를 대등하게 정착시키는 것과 관계있다. 동력 중심들 및 그 동역자들을 제외하고, 아무도 물질 창조를 이렇게 다시 정렬시키는 데 관여하지 않는 듯이 보인다.
[140]| {i{i{대구역}i}i} {i{i{시대}i}i}. 여섯째 단계, 즉 대구역의 안정화에 관해서, 우리는 오직 추측할 수 있을 뿐인데, 우리 가운데 누구도 그런 사건을 보지 못했기 때문이다. 그럼에도 그런 진보된 상태에 있는 인간거주 세계들과 그 우주 집단화에 동반될 가능성이 있는 경영 및 기타 재조정에 관해서, 우리는 많은 것을 가정해볼 수 있다.
[141]| 소구역 상태는 대등한 물리적 평형과 관련되게 돼있으므로, 우리는 대구역 통합이 어떤 새로운 지성 달성 수준, 그리고 아마 시공우주 지혜를 최상으로 실현함으로써 어떤 진보된 수준을 성취하는 것과 관련될 것이라고 추측한다.
[142]| 우리는, 개별 세계에서, 그리고 더 오래되고 고도로 발달된 구체들에서 사는 개별 필사자의 체험에서, 그런 업적이 어떤 결과를 낳았는지 살펴봄으로써, 진화적 진보로 지금까지 달성하지 못한 수준을 실현하는 데 어떤 재조정들이 혹시 따를 것인가에 관한 결론에 도달한다.
[143]| 한 우주 또는 연방우주의 경영 체제와 통치 기법은, 개별 인간거주 행성, 또는 그런 세계에 있는 어떤 개별 필사자의 진화적 발전이나 영적 진보를, 어떤 방법으로도 제한하거나 늦출 수 없다는 점을 분명히 해두자.
[144]| 더 오래된 어떤 우주에는, 빛과 생명의 다섯째 및 여섯째 단계에 정착한--곧 심지어 일곱째 시기 속으로 깊숙이 들어간-- 세계들이 있지만, 그 지역 체계들이 아직 빛 속에 정착하지 않았음을 우리는 발견한다. 비교적 젊은 행성들이 그 체계의 통합을 지연시킬지 모르지만, 이것은 더 오래되고 진척된 세계의 진보를 조금도 방해하지 않는다. 또한 격리된 세계에서조차, 환경의 한계가 개별 필사자의 개인적 달성을 막을 수 없으며;{k{k{나사렛}k}k} {k{k{예수}k}k}는, 사람들 가운데 한 사람으로서, {k{k{유란시아}k}k}에서 1,900여년 전에 빛과 생명의 신분을 개인적으로 성취했다.
[145]| 일곱 연방우주의 안정화 사건을 틀림없게 묘사할 수는 없더라도, 우리는 오랜 세월 정착된 세계들에서 발생하는 것을 관찰함으로써, 한 연방우주 전체가 빛 속에 정착할 때 무엇이 일어날 것인지에 대해 상당히 믿을만한 결론에 도달했다.
[146]| {b{b{12. }b}b}{b{b{{k{k{일곱째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{단계}k}k}}b}b}{b{b{,}b}b}{b{b{ }b}b}{b{b{{k{k{연방우주}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{단계}k}k}}b}b}
[147]| 우리는, 한 연방우주가 빛 속에 정착하게 될 때 무엇이 일어날지 명확히 예측할 수 없는데, 그런 사건이 사실로 이뤄진 적이 없기 때문이다. 한 번도 반론이 제기된 적이 없는, {k{k{멜기세덱}k}k}들의 교훈을 토대로, 우리는 인간거주 세계로부터 연방우주 본부에 이르기까지 확장하는 시간과 공간의 창조계에서, 모든 단위에 대한 전체 조직과 경영에 전면적인 변화가 일어날 것이라고 추측한다.
[148]| 달리 어딘가에 배속되지 않은, 피조물에서_삼자일체된 아들들 가운데 많은 숫자가, 정착된 연방우주들의 본부 및 구획별 수도들에서 모이게 될 것이라는 믿음이 널리 퍼져 있다. 외부_공간존재들이 {k{k{하보나}k}k}와 {k{k{낙원}k}k}으로 가는 길에 언젠가 도달할 것을 내다보고 그러는가 싶지만;우리는 정말로 모른다.
[149]| 한 연방우주가 빛과 생명 속에 정착하면, 그렇게 될 때, 지금은 고문 역할을 하고 있는 {k{k{지존자}k}k}의 {k{k{무조건}k}k} {k{k{감독관}k}k}들이, 연방우주 본부 세계들에서 높은 경영 기관이 될 것이라고 우리는 믿는다. 이들은 유한절대 경영자들과 직접 접촉할 수 있는 인격체인데, 정착된 연방우주에서 즉시 활동하게 될 것이다. 이 {k{k{무조건}k}k} {k{k{감독관}k}k}들이, 발전된 창조물 진화 단위들에서 오랫동안 자문가 및 조언자 역할을 해 왔더라도, {k{k{지존하신}k}k} {k{k{분}k}k}의 권세가 주권을 갖게 되기 전에는 경영 책임을 맡지 않는다.
[150]| 이 시기에 더 광범하게 활동하는, {k{k{지존자}k}k}의 {k{k{무조건}k}k} {k{k{감독관}k}k}들은, 유한하거나, 유한절대이거나, 궁극이거나, 무한하지 않으며;그들은 지존성{i{i{이며}i}i}, 오직 {k{k{지존자}k}k} {k{k{하나님}k}k}을 대변할 뿐이다. 그들은 시_공간 지존성이 인격화된 존재이며, 그렇기 때문에 {k{k{하보나}k}k}에서는 활동하지 않는다. 그들은 오직 최상의 통합자로서 작용한다. 그들은 아마 우주의 반사성 기법에도 관여할지 모르지만, 우리는 확신할 수 없다.
[151]| 광우주가(곧 {k{k{하보나}k}k}에 의존하는 일곱 연방우주가) 빛과 생명에 완전히 정착될 때 무슨 일이 일어날지에 대한 만족스런 개념을, 우리 가운데 누구도 갖고 있지 않다. 그 사건은, 중앙우주가 출현한 이래, 영원성의 연대기{年代記}에서 가장 의미심장하게 발생될 것임에 틀림없다. {k{k{지존하신}k}k} {k{k{분}k}k} 스스로, 자신의 영 인격자를 덮고 있는 {k{k{하보나}k}k}의 신비로부터 떠오르게 될 것이라고, 그리고 시간과 공간의 완전하게 된 창조계를 다스리는, 전능하고 체험적인 주권자로서, 일곱째 연방우주 본부에 거주하게 될 것이라고 주장하는 자들이 있다. 그러나 우리는 정말로 모른다.
[152]| [{k{k{유란시아}k}k}에 있는 {k{k{천사장}k}k} {k{k{위원회}k}k}에 일시적으로 배정된 {k{k{강력한}k}k} {k{k{사자}k}k}가 제시했음]
