[1]| 제48편{{{br}}} 모론시아 생애
[124]| 이 천사들은 모두, 시간세계의 사실과 영원성의 진리를 다루는 가장 낮은 관리인으로부터 가장 높은 관리인에 이르기까지 이어지는, 기록원들 계통에 속해 있다. 언젠가 그들은 사실뿐만 아니라 진리를 추구하라고, 너희의 정신뿐만 아니라 혼을 키우라고 너희에게 가르칠 것이다. 지금이라도, 너희는 지식의 메마른 모래사장을 찾는 법뿐만 아니라, 자기 심성의 정원에 물을 주는 법도 배워야 한다. 교훈을 배운 뒤에는 형식이 무가치하게 된다. 어떤 병아리도 껍데기 없이 태어나지 않으며, 어떤 껍데기든지 병아리가 부화한 후에는 무가치하다. 그러나 때때로 실책이 너무 커서 계시로 실책을 바로잡는 것은, 실책을 체험으로 정복하는 데 기초가 되는 서서히 떠오르는 진리에 치명적일 수 있다. 어린아이가 자신의 이상{理想}을 가질 때, 그것을 뭉개지 말고;자신이 키우도록 내버려둬라. 그리고 너희가 성인으로서 생각하는 방법을 배우는 동안, 너희 역시 어린아이처럼 간청하는 법을 배워야 한다.
[125]| 법은 생명 자체이며, 생명의 실행에 대한 규정이 아니다. 악이란, 생명에 관계되는 실행 규칙의 위반이 아니라, 법을 어기는 것이며, 생명이 법{i{i{이다}i}i}. 거짓말은, 말하는 방법의 문제가 아니라, 진리를 왜곡시키는 고의적인 어떤 것이다. 옛 사실로부터 새로운 그림을 창조하는 것, 자손의 삶 속에 부모의 삶을 재현하는 것--이것이 진리의 예술적 승리다. 진실이 아닌 목적을 미리 생각해서, 태연한 척 하는 음침함, 원칙인 그것을 아주 약간 뒤틀거나 왜곡시킴--이것이 거짓이다. 그러나 진리를 사실화시킨 미신, 화석화 된 진리, 소위 불변의 진리라는 쇠고랑이, 냉혹한 사실로 밀폐된 궤도 안에 사람을 눈먼 채로 붙잡아 둔다. 사실에 비춰서 원칙적으로는 옳은 것이, 진리 면에서는 영구히 틀렸을 수 있다.
[126]| 7. {i{i{{k{k{사역하는}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{예비군}k}k}}i}i}. 모든 계층의 과도기 스라빔으로 구성된 큰 단체가, 첫 맨션 세계에 주둔한다. 운명 수호자들 다음으로, 모든 계층의 스라빔 중에서 이 과도기 사역자들이 인간에게 가장 가까이 접근하며, 너희는 여가 시간 대부분을 그들과 함께 보내게 된다. 천사들은 봉사하기를 기뻐하며, 배정되지 않을 때에는 종종 자원자로 사역한다. 상승하는 대부분 필사자의 혼은, 스랍 예비군의 자원 봉사자들과 갖는 개인적 친분을 통해서, 기꺼이_봉사하겠다는 신성한 열정으로, 처음으로 불붙게 된다.
[127]| 너희는, 안정성과 확실성 개발에 박차를 가하기;신실하고 정직하며 게다가 쾌활하게 되기;불만 없이 도전을 받아들이고 두려움 없이 어려움과 불확실성에 맞서기를, 그들로부터 배울 것이다. 그들이 질문할 것이다:네가 실패한다면, 너는 새로 시도하기 위해 굽히지 않고 일어설 것인가? 네가 성공한다면, 물질적 타성의 족쇄를 부수기 위해, 영 실존의 자유를 성취하려고 오래 투쟁하는 동안 온갖 노력을 통해서, 너는 차분한 자세를--곧 안정되고 영성화 된 태도를-- 유지할 것인가?
[128]| 필사자와 마찬가지로, 이 천사들도 많은 실망을 일으킨 적이 있었으며, 때때로 너희의 가장 낙담스러운 실망이 너희에게 가장 큰 축복이었음을 지적하게 될 것이다. 씨를 뿌리면 그것이 먼저 죽어야 하듯이, 네가 가장 바라는 소망이 새롭게 태어나서 새로운 삶과 새로운 기회의 열매를 맺기 위해서는, 먼저 그 소망이 사라질 필요가 있다. 그리고 이 천사들로부터, 너는 먼저 다른 인격체들에 대해 몸소 계획하기를 줄이고, 그 다음에는 의무를 성실히 수행했을 때 너의 운명을 받아들임으로써, 슬픔과 실망 속에서도 고통을 적게 받기를 배우게 될 것이다.
[129]| 너희는, 자신을 너무 심각하게 살피면 짐이 무거워지고 성공 가능성이 줄어든다는 것을 배우게 될 것이다. 너의 신분 구체에서--곧 이 세상 또는 다음 세상에서-- 할 일보다 우선하는 것은 하나도 없다. 다음의 더 높은 구체를 위해서 준비하는 일도 매우 중요하지만, 아무 것도 네가 실제로 살고 있는 그 세계에서 할 일만큼 중요하지는 않다. 그러나 비록 그 {i{i{일}i}i}이 중요하더라도, {i{i{자아}i}i}는 그렇지 않다. 네가 중요하다고 느낄 때, 너는 자기 존엄성이 손상될 만큼 에너지를 이미 낭비해서, 그 일을 할 에너지가 거의 남아 있지 않다. 미성숙한 피조물을 지치게 만드는 것은, 업무를_중요시여김이 아니라, 자신을_중요시여김이며;지치게 만드는 것은, 성취하려는 노력이 아니라, 자아 요소다. 자신을_중요시하지 않으면, 너는 중요한 일을 할 수 있으며;너 자신을 빼버리면, 여러 일을 하나의 일을 하듯이 쉽게 할 수 있을 것이다. 변화는 휴식을 주며;단조로움은 초조하게 하고 지치게 한다. 매일 매일이 마찬가지다--바르게 살든지, 아니면 죽음이 있을 뿐이다.
[130]| {b{b{7. }b}b}{b{b{{k{k{모론시아}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{모타}k}k}}b}b}
[131]| 모론시아 모타 중에서 낮은 차원은, 인간 철학 중에서 높은 수준과 직접 맞닿아 있다. 첫 맨션 세계에서는, 발전이 더딘 학생을 병렬식 기법으로 가르치는 것이 관례인데;다시 말하면, 한 줄은 모타 의미 중에서 단순한 개념이 제시되고, 다른 줄에서는 인간 철학과 비슷한 말이 인용된다.
[132]| {k{k{사타니아}k}k}의 첫 맨션 세계에서 임무를 수행하는 동안, 나는 얼마 전에 이 교습 방법을 볼 수 있는 기회를 가졌으며;그 학습의 모타 내용을 제시할 수는 없지만, 인간 철학의 28개 서술문을 기록하도록 허락 받았는데, 모타의 중요성과 의미를 파악하기 위해서 그들이 초기에 애쓸 때, 맨션 세계에 새로 체류하는 이 사람들을 돕도록 계획된 설명 자료로서, 이 모론시아 교관이 이를 활용하고 있었다. 인간 철학의 이 실례는 다음과 같았다:
[133]| 1. 전문화된 솜씨를 보여준다고 해서, 영적 수용력을 소유했다고 볼 수는 없다. 영리함이 참된 성품을 대신하지는 않는다.
[134]| 2. 자신이 정말로 소유하는 신앙에 따라서 사는 사람은 거의 없다. 진화하는 필사자의 혼을 속이는 주된 지적 속임수는, 불합리한 두려움이다.
[135]| 3. 타고난 수용력을 초월할 수 없으며;한 되가 한 말을 담을 수 없다. 물질적인 기억의 틀 속에, 영 개념을 기계적으로 강제로 집어넣을 수 없다.
[136]| 4. 개인에게 이바지하도록, 천성과 신의 은총이 함께 확정한 신용한도를 초과하기 직전까지, 과감하게 빌리고자 하는 필사자는 거의 없다. 가난해진 혼들 대부분은, 실제로 부유한데도, 이를 믿으려 하지 않는다.
[137]| 5. 어려움은, 진부한 자에게 도전하고, 두려워하는 자들을 좌절시킬 수도 있지만, 오직 {k{k{지고자}k}k}들의 참된 자녀는 이 어려움으로 자극받을 뿐이다.
[138]| 6. 남용하지 않고 특권을 누림, 방종하지 않고 자유를 누림, 권력을 소유하면서도 자아를_과장하기 위해 사용하기는 단호하게 거부함--이것이 높은 문명을 가졌다는 표시다.
[139]| 7. 맹목적이고 우연한 사건은 시공우주에서 일어나지 않는다. 또한 천상의 존재들은, 자신이 본 진리의 빛에 따라 행하기를 거부하는 낮은 존재를 돕지 않는다.
[140]| 8. 노력이 항상 기쁨을 가져오지는 않지만, 영리한 노력 없이는 행복이 없다.
[141]| 9. 행동은 힘을 얻게 하고;온건함은 결국 매력이 된다.
[142]| 10. 정의는 진리의 조화로운 화음을 산출하며, 그 가락은 심지어 {k{k{무한자}k}k}가 알아보기까지 우주에 두루 울려 퍼진다.
[143]| 11. 약한 자는 결심하기 바쁘지만, 강한 자는 행동한다. 인생은 오직 하루의 일이다--하루의 일을 잘 하라. 행동은 우리가 하는 것이며;결과는 {k{k{하나님}k}k}이 정하신다.
[144]| 12. 우주에서 가장 큰 고통은, 고통을 전혀 맛보지 못하는 것이다. 필사자는 오직 고난을 체험함으로써만 지혜를 배울 수 있다.
[145]| 13. 빛나고 기쁨에 넘치는 산꼭대기가 아니라, 체험의 밑바닥에 외로이 격리된 곳에서 별들이 가장 잘 식별된다.
[146]| 14. 너의 동료들이 진리를 갈망하도록 자극하라;진리에 대해 질문했을 때에만 충고하라.
[147]| 15. 허식은, 무식한 자가 현명하게 보이려고 하는 우스꽝스런 노력이요, 빈궁한 혼이 부자인 것처럼 보이려고 꾀하는 것이다.
[148]| 16. 영적 진리는, 네가 손으로 만지듯이 체험하기 전에는 파악할 수 없으며, 역경을 당해보지 않고는 진정으로 느낄 수 없는 진리가 많이 있다.
[149]| 17. 야망은, 완전히 사회화되기 전에는 위험하다. 어떤 미덕이든지, 네가 그에 어울리게 행동하기 전에는, 그 미덕을 참되게 획득할 수 없다.
[150]| 18. 성급함은 영에게 일종의 독약이며;분노는 벌집에 돌을 던지는 것과 같다.
[151]| 19. 근심을 버려야 한다. 가장 견디기 힘든 실망은, 결코 닥쳐오지 않는 실망이다.
[152]| 20. 평범하고 단조로운 일상생활에서, 시인만이 시를 분별할 수 있다.
[153]| 21. 어떤 예술이든지 그 고귀한 사명은, 그 환상을 이용하여 더 높은 우주 실체를 예시하는 것, 즉 잠시 동안의 감정을 영원성 사고{思考} 속으로 구체화시키는 것이다.
[154]| 22. 진화하는 혼은, 무엇을 행하는가가 아니라, 무엇을 행하려고 노력하는가에 따라서 신성하게 된다.
[155]| 23. 죽음은, 지적 소유나 영적 재능에 아무 것도 더해주지 않지만, 체험에 의거한 상태에 {i{i{생존하는}i}i} 의식{意識}을 더해준다.
[156]| 24. 영원성{永遠性}을 향한 운명은, 하루하루 살면서 이룩한 업적에 따라 순간마다 결정된다. 오늘의 행동이 내일의 운명이다.
[157]| 25. 위대함은, 소유하고 있는 힘에 있지 않고, 그런 힘을 현명하고 신성하게 사용하는 데 있다.
[158]| 26. 지식은 나눔으로써만 소유되며;지혜가 없으면 지식이 위험하고, 사랑이 없는 지식은 사회에 유익을 끼치지 못한다.
[159]| 27. 진보는 개성의 발달을 요구하며;진부한 사람은, 표준화시킴으로써 영속시키려고 애쓴다.
[160]| 28. 어떤 주장이든지, 내포된 진리가 빈약할수록 논쟁으로 방어하려고 한다.
[161]| 이런 것은 첫 맨션 세계의 초보자들의 작품인 반면, 그 다음 세계들에서 더 진보된 학생은, 더 높은 수준의 시공우주 통찰력과 모론시아 모타를 터득한다.
[162]| {b{b{8. }b}b}{b{b{{k{k{모론시아}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{진보자}k}k}}b}b}
[163]| 맨션 세계들을 졸업하는 순간부터, 연방우주 생애에서 영 신분을 얻게 될 때까지, 상승하는 필사자를 모론시아 진보자라고 부른다. 이 놀라운 경계지대의 생활을 너희가 거치는 것은, 잊을 수 없는 체험, 매력 있는 추억이 될 것이다. 그것은, 영 생애로 들어가고 결국 피조물 완전성에 도달하는 진화의 입구이며, 이로 인해서 상승자들은 세월의 목표--곧 {k{k{낙원}k}k}에서 {k{k{하나님}k}k}을 발견하는 목표--를 달성한다.
[164]| 필사자를 진보시키는 이 모론시아 계획 및 차후의 영 계획, 즉 상승하는 피조물을 위한 이 정교한 우주 훈련 학교에는, 확실하고 신성한 어떤 목적이 있다. 시간세계의 피조물에게 광우주의 운영과 경영에 관한 내용을 숙달하도록 점진적 기회를 제공하는 것이 {k{k{창조주}k}k}들의 계획이며, 생존된 필사자가 조금씩 올라감으로써, 그리고 그 모든 상승 과정에 실제로 참여함으로써, 이 오랜 훈련 과정이 최선으로 진행된다.
[165]| 필사자를_생존시키는 계획에는 실용적이고 유용한 목표가 있으며;너희를 생존시켜서 그저 끝없는 복과 영구적 편안함만 누리게 하려고, 이 모든 신성한 수고와 공들인 훈련에 너희를 참여시키는 것이 아니다. 현 우주 시대의 수평선 너머에, 초월적 봉사라는 목표가 감춰져 있다. {k{k{하나님}k}k}들이, 겨우 하나의 길고도 영원한, 즐거운 소풍으로 너희를 데려가려고 계획했다면, 그분들은 분명히, 전체 우주를 하나의 광대하고 복잡한 실제 훈련 학교가 되도록 그렇게 거대하게 전환시키고, 천상의 창조계 가운데 상당한 부분을 선생과 교관들로서 징발하고, 그 다음에는 체험 훈련의 이 거대한 우주 학교를 통해서 너희를 하나씩 안내하려고, 수많은 시간을 보내시지 않았을 것이다. 필사자 진보 계획을 촉진시키는 것이, 현재 조직된 우주의 주요 사업 가운데 하나인 것처럼 보이며, 수많은 계층의 창조된 지성체 대부분은, 점진적으로 사람을 완성시키는 이 계획의 어떤 국면을 진행하는 것에, 직접 또는 간접으로 관여돼 있다.
[166]| 필사적 사람으로서 시작하여 {k{k{신격}k}k}에게 포용되기까지, 살아있는 실존의 상승하는 단계를 거치는 동안, 너희는 현 우주 시대의 한계 속에서, 완성된 피조물 실존이 거치는 모든 가능한 국면과 단계의 바로 그 인생을 실제로 산다. 필사적 사람으로부터 {k{k{낙원}k}k} 완결성취자에 이르기까지, 현재 가능한 것을 모두 포함한다--살아있는 여러 계층에서 총명하고 완성된 유한한 피조 존재가 당장 성취할 수 있는 모든 것을 포함한다. {k{k{낙원}k}k} 완결성취자의 미래 운명이, 지금 만들어지고 있는 새로운 우주들에서 봉사하는 것이라면, 이 새로운 미래 창조에서는, 필사 완결성취자의 일생과는 완전히 다른 일생을 살아갈, 그런 창조된 계층의 체험적 존재는 전혀 없으리라는 것이 확실한데, 이 완결성취자들은, 상승 훈련의 한 부분으로서, 동물로부터 천사까지, 천사로부터 영까지, 영으로부터 {k{k{하나님}k}k}께 이르기까지, 오랜 세월에 걸쳐 진보하는 여정들 가운데 하나로서, 어떤 세상에서 살아왔다.
[167]| [{k{k{네바돈}k}k}의 {k{k{천사장}k}k}이 제시했음]
