[1]| 제70편{{{br}}} 인간 정부의 진화
[179]| 원시적 응보 관념 전체는, 공정하게 하는 것이라기보다는 싸움이 결론에 도달하도록 해서, 공중의 무질서와 개인의 폭력을 막기 위한 것이었다. 그러나 원시인은, 오늘날 불법으로 간주되는 것처럼 그렇게 심하게 분개하지는 않았으며;권력을 가진 자가 그것을 이기적으로 사용하는 것이 당연하다고 생각했다. 그럼에도 어떤 문명의 상태는, 그 법정이 얼마나 철저하고 공정한가, 그리고 그 재판관이 얼마나 성실하게 재판하는가에 따라 정확하게 결정될 수 있다.
[180]| {b{b{12. }b}b}{b{b{{k{k{시민사회}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{권위의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{배분}k}k}}b}b}
[181]| 정부의 진화에서 가장 큰 갈등은 권력의 집중과 관계돼 왔다. 우주 경영자들은, 잘_조화된 행정부, 입법부, 및 사법부 부서들 사이에 적당한 힘의 균형이 유지될 때, 대의정치 유형의 시민 정부가, 인간거주 세계에서 진화 민족들을 가장 잘 통제한다는 것을, 체험을 통해서 배워 왔다.
[182]| 원시의 권위는 힘, 즉 육체의 능력을 바탕으로 했지만, 이상적인 정부는, 역량에 따라서 지도자가 선정되는 대의정치 체제이며, 야만적 시대에는 한결같이 너무 많은 전쟁 때문에, 대의정치를 하는 정부가 효과적으로 기능을 발휘할 수 없었다. 권위의 분할과 지휘계통의 통일 사이에 있었던 오랫동안의 갈등 속에서, 독재자 체제가 선택됐다. 원로들로 구성된 원시 협의회가 가졌던 초기의 산만한 권력이, 절대 군주라는 인물에게 점점 더 집중됐다. 실제 왕들이 출현한 후로, 원로 집단은 유사{類似}_입법_및_사법 자문 기관으로서 계속 명맥을 유지했으며;나중에는 대등한 입장의 입법 기관들이 생겨났고, 결국 최고 판결 법정이 입법기관에서 분리되어 확립됐다.
[183]| 왕은, 사회관행, 즉 본래의 율법 또는 불문율{不文律}을 집행하는 역할을 했다. 나중에는 입안된 법, 즉 구체화된 여론을 왕이 집행했다. 비록 더디게 나타나기는 했지만, 여론을 제시하기 위한 대중 집회가 큰 사회적 진보를 표시했다.
[184]| 초기의 왕은, 사회관행--곧 전통 또는 여론--에 크게 제한을 받았다. 최근에 {k{k{유란시아}k}k}의 어떤 나라들은 이 사회관행을, 정부를 위한 근거 자료로서 성문화했다.
[185]| {k{k{유란시아}k}k}의 필사자는 자유를 가질 자격이 있으며;정부 체계를 구성해야 하며;자체 헌법, 또는 시민사회의 권위와 경영 절차에 관한 기타 헌장을 채택해야 한다. 그리고 이렇게 하고 나서, 가장 유능하고 덕망 있는 동료를 최고 행정관으로 선택해야 한다. 입법부에 소속되는 대표자들의 경우에는, 지적으로 자격을 갖추고 도덕적으로 그런 신성시되는 책임을 완수할 수 있는 사람을 뽑아야 한다. 고등 법원과 최고 법원의 재판관의 경우에는, 오직 타고난 역량을 부여받고 충분한 체험으로 현명하게 된 자들만 선출돼야 한다.
[186]| 사람이 자신의 자유를 유지하고 싶다면, 자유 헌장을 채택한 후에, 반드시, 다음과 같은 것들을 방지할 수 있도록, 그 헌장을 현명하고 지성적이며 담대하게 해석할 수 있어야 한다:
[187]| 1. 행정부 또는 입법부가 부당하게 권력을 강탈함.
[188]| 2. 무지하고 미신에 사로잡힌 선동자{煽動者}들의 술수.
[189]| 3. 과학적 진보의 지연.
[190]| 4. 진부한 사람이 지배하는 위기.
[191]| 5. 부도덕한 소수의 무리가 지배함.
[192]| 6. 독재자가 되려는 야심적이고 약삭빠른 사람에게 지배됨.
[193]| 7. 공포로 인한 비참한 혼란.
[194]| 8. 사악한 자들에게 착취당함.
[195]| 9. 국가가 세금으로 일반 시민을 노예로 만듦.
[196]| 10. 사회적 및 경제적 공평성의 부족.
[197]| 11. 교회와 국가의 통합.
[198]| 12. 개인의 자유를 상실함.
[199]| 이것들이, 진화하는 세계의 통치자로서 활동하는 대의정부{代議政府}라는 기구 위에 군림하는, 합법적 법정을 두는 목적과 목표다.
[200]| {k{k{유란시아}k}k}에서 완전한 정부를 수립하기 위한 인류의 투쟁은, 경영의 경로를 완전하게 만들고, 항상 변하는 시대의 요구에 그 경로를 적응시키며, 정부 안에서 권력을 더 균형 잡히게 분산시켜야 하며, 그 다음에 정말로 현명한 사람들을 경영 지도자로 뽑는 것과 관계가 있다. 신성하고 이상적인 정부 형태가 있기는 하지만, 그런 것은 계시될 수 없고, 대신에 시간과 공간의 우주 전역에서, 각 행성의 남녀가 서서히 힘겹게 발견해야 한다.
[201]| [{k{k{네바돈}k}k}의 {k{k{멜기세덱}k}k}이 제시했음]
